Book_01_-_The_Gods.txt:89							A&D/15:3
Book_05_-_The_Omens.txt:1							A&D/160:1
Book_05_-_The_Omens.txt:2							A&D/160:2
Book_05_-_The_Omens.txt:3							A&D/160:3
Book_05_-_The_Omens.txt:4							A&D/160:3
Book_05_-_The_Omens.txt:5							A&D/160:4
Book_05_-_The_Omens.txt:6							A&D/160:4
Book_05_-_The_Omens.txt:7							A&D/161:1
Book_05_-_The_Omens.txt:8							A&D/161:2
Book_05_-_The_Omens.txt:9							A&D/161:2
Book_05_-_The_Omens.txt:10							A&D/161:2
Book_05_-_The_Omens.txt:11							A&D/161:2
Book_05_-_The_Omens.txt:12							A&D/161:3
Book_05_-_The_Omens.txt:13							A&D/162:1
Book_05_-_The_Omens.txt:14							A&D/162:2
Book_05_-_The_Omens.txt:15							A&D/162:3
Book_05_-_The_Omens.txt:16							A&D/162:4
Book_05_-_The_Omens.txt:17							A&D/162:4
Book_05_-_The_Omens.txt:18							A&D/162:4
Book_05_-_The_Omens.txt:19							A&D/163:2
Book_05_-_The_Omens.txt:20							A&D/163:3
Book_05_-_The_Omens.txt:21							A&D/163:5
Book_05_-_The_Omens.txt:22							A&D/164:1
Book_05_-_The_Omens.txt:23							A&D/164:2
Book_05_-_The_Omens.txt:24							A&D/164:3
Book_05_-_The_Omens.txt:25							A&D/164:4
Book_05_-_The_Omens.txt:26							A&D/165:1
Book_05_-_The_Omens.txt:27							A&D/165:2
Book_05_-_The_Omens.txt:28							A&D/165:2
Book_05_-_The_Omens.txt:29							A&D/165:3
Book_05_-_The_Omens.txt:30							A&D/165:3
Book_05_-_The_Omens.txt:31							A&D/165:4
Book_05_-_The_Omens.txt:32							A&D/165:5
Book_05_-_The_Omens.txt:33							A&D/166:1
Book_05_-_The_Omens.txt:34							A&D/166:2
Book_05_-_The_Omens.txt:35							A&D/166:3
Book_05_-_The_Omens.txt:36							A&D/166:4
Book_05_-_The_Omens.txt:37							A&D/166:4
Book_05_-_The_Omens.txt:38							A&D/166:4
Book_05_-_The_Omens.txt:39							A&D/166:5
Book_05_-_The_Omens.txt:40							A&D/168:1
Book_05_-_The_Omens.txt:41							A&D/168:2
Book_05_-_The_Omens.txt:42							A&D/168:3
Book_05_-_The_Omens.txt:43							A&D/169:1
Book_05_-_The_Omens.txt:44							A&D/169:2
Book_05_-_The_Omens.txt:45							A&D/169:2
Book_05_-_The_Omens.txt:46							A&D/169:3
Book_05_-_The_Omens.txt:47							A&D/169:4
Book_05_-_The_Omens.txt:48							A&D/169:5
Book_05_-_The_Omens.txt:49							A&D/169:5
Book_05_-_The_Omens.txt:50							A&D/169:6
Book_05_-_The_Omens.txt:51							A&D/170:1
Book_05_-_The_Omens.txt:52							A&D/170:3
Book_05_-_The_Omens.txt:53							A&D/170:4
Book_05_-_The_Omens.txt:54							A&D/170:4
Book_05_-_The_Omens.txt:55							A&D/170:4
Book_05_-_The_Omens.txt:56							A&D/171:1
Book_05_-_The_Omens.txt:57							A&D/171:2
Book_05_-_The_Omens.txt:58							A&D/171:3
Book_05_-_The_Omens.txt:59							A&D/172:1
Book_05_-_The_Omens.txt:60							A&D/172:2
Book_05_-_The_Omens.txt:61							A&D/172:3
Book_05_-_The_Omens.txt:62							A&D/172:4
Book_05_-_The_Omens.txt:63							A&D/172:5
Book_05_-_The_Omens.txt:64							A&D/172:6
Book_05_-_The_Omens.txt:65							A&D/172:7
Book_05_-_The_Omens.txt:66							A&D/173:1
Book_05_-_The_Omens.txt:67							A&D/173:1
Book_05_-_The_Omens.txt:68							A&D/174:1
Book_05_-_The_Omens.txt:69							A&D/174:2
Book_05_-_The_Omens.txt:70							A&D/174:3
Book_05_-_The_Omens.txt:71							A&D/174:4
Book_05_-_The_Omens.txt:72							A&D/174:5
Book_05_-_The_Omens.txt:73							A&D/175:1
Book_05_-_The_Omens.txt:74							A&D/175:2
Book_05_-_The_Omens.txt:75							A&D/175:3
Book_05_-_The_Omens.txt:76							A&D/175:4
Book_05_-_The_Omens.txt:77							A&D/175:4
Book_05_-_The_Omens.txt:78							A&D/175:5
Book_05_-_The_Omens.txt:79							A&D/176:1
Book_05_-_The_Omens.txt:80							A&D/176:2
Book_05_-_The_Omens.txt:81							A&D/176:3
Book_05_-_The_Omens.txt:82							A&D/176:4
Book_05_-_The_Omens.txt:83							A&D/176:5
Book_05_-_The_Omens.txt:84							A&D/177:1
Book_05_-_The_Omens.txt:85							A&D/177:2
Book_05_-_The_Omens.txt:86							A&D/177:3
Book_05_-_The_Omens.txt:87							A&D/177:4
Book_05_-_The_Omens.txt:88							A&D/177:5
Book_05_-_The_Omens.txt:89							A&D/177:6
Book_05_-_The_Omens.txt:90							A&D/179:1
Book_05_-_The_Omens.txt:91							A&D/179:2
Book_05_-_The_Omens.txt:92							A&D/179:3
Book_05_-_The_Omens.txt:93							A&D/179:3
Book_05_-_The_Omens.txt:94							A&D/179:6
Book_05_-_The_Omens.txt:95							A&D/180:1
Book_05_-_The_Omens.txt:96							A&D/180:2
Book_05_-_The_Omens.txt:97							A&D/180:2
Book_05_-_The_Omens.txt:98							A&D/180:3
Book_05_-_The_Omens.txt:99							A&D/180:4
Book_05_-_The_Omens.txt:100							A&D/180:5
Book_05_-_The_Omens.txt:101							A&D/180:6
Book_05_-_The_Omens.txt:102							A&D/180:7
Book_05_-_The_Omens.txt:103							A&D/180:8
Book_05_-_The_Omens.txt:104							A&D/180:9
Book_07_-_The_Sun,_Moon,_Stars,_and_the_Binding_of_the_Years.tokenised:1	A&D/8:1
Book_07_-_The_Sun,_Moon,_Stars,_and_the_Binding_of_the_Years.tokenised:2	A&D/8:2
Book_07_-_The_Sun,_Moon,_Stars,_and_the_Binding_of_the_Years.tokenised:14	A&D/10:1
Book_07_-_The_Sun,_Moon,_Stars,_and_the_Binding_of_the_Years.tokenised:15	A&D/10:2
Book_07_-_The_Sun,_Moon,_Stars,_and_the_Binding_of_the_Years.tokenised:16	A&D/10:3
Book_07_-_The_Sun,_Moon,_Stars,_and_the_Binding_of_the_Years.tokenised:17	A&D/10:3
