#prior  lem     pos     feat    dep     lem     pos     feat    		dep
2	_	n	rel	_	_	NOUN	NounType=Relat		_
#2	_	prn	rel	_	_	PRON	PronType=Rel		_
#2	_	adv	rel	_	_	ADV	PronType=Rel		_
0	_	_	abs	_	_	_	Case=Abs		_
0	_	_	voc	_	_	_	Case=Voc		_
0	_	_	pl	_	_	_	Number=Plur		_
0	_	_	px3aa	_	_	_	Animacy[psor]=Anim|Person[psor]=3
0	_	_	px3nn	_	_	_	Animacy[psor]=Inan|Person[psor]=3
0	_	_	px1sg	_	_	_	Number[psor]=Sing|Person[psor]=1	_
0	_	_	px2sg	_	_	_	Number[psor]=Sing|Person[psor]=2	_
0	_	_	px3sg	_	_	_	Number[psor]=Sing|Person[psor]=3	_
0	_	_	px1pl	_	_	_	Number[psor]=Plur|Person[psor]=1	_
0	_	_	px2pl	_	_	_	Number[psor]=Plur|Person[psor]=2	_
0	_	_	px3pl	_	_	_	Number[psor]=Plur|Person[psor]=3	_
0	_	n	_	_	_	NOUN	_			_
0	_	v	_	_	_	VERB	_			_
0	_	adv	_	_	_	ADV	_			_
